source,target,relationship,properties
Abhraka Bhasma,6653,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pratishyay""}"
Abhraka Bhasma,1412,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Vatadhika Tamaka Swasa""}"
Abhraka Bhasma,2678;21184,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Vatadhika Tamaka Swasa""}"
Abhraka Bhasma,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Agasthya Rasayana,1412,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kaphadhika Tamaka Swasa""}"
Agastya Haritaki,2678;21184,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shwasa""}"
Agastya Haritaki,1412,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shwasa""}"
Agastya Haritaki,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Agastya Haritaki,3973,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Hikka""}"
Agastya Haritaki,7644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kshaya""}"
Agnimukha churna,21358,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sula""}"
Agnimukha churna,7053,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pliha Roga""}"
Agnimukha churna,2675,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Agnimukha churna,1412,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Svasa""}"
Agnimukha churna,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Agnimukha churna,20710,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Agnimukha churna,21488,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Gulma""}"
Agnimukha churna,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Agnimukha churna,7644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kshaya""}"
Agnimukha churna,20991,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Agnimukha churna,2678;21184,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Svasa""}"
Agnitundi Vati,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Agnimandya""}"
Ahiphenasava,2504,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ugra Atisara""}"
Ajamoda Arka,Dvapantara ajamoda (API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""849785-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Trachyspermum roxburghianum""}"
Ajamoda Arka,Jala API for soaking and for,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""–"", ""pharmacopoeia_ref"": ""Potable Water""}"
Ajamoda Arka,7785,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Bastiroga""}"
Ajamoda Arka,13863,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Bastiroga""}"
Ajamoda Arka,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Agnimandya""}"
Ajamoda Arka,2675,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajarna""}"
Ajamoda Arka,20991,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajarna""}"
Ajamodadi churna,4305;21103,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sotha""}"
Ajamodadi churna,21346,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sandhi Pida""}"
Ajamodadi churna,21358,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sula""}"
Ajamodadi churna,6648,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amavata""}"
Ajamoderka,2675,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajīrṇa""}"
Ajamoderka,20991,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajīrṇa""}"
Ajamoderka,13863,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Bastiroga""}"
Ajamoderka,7785,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Bastiroga""}"
Ajirna kantaka rasa,2675,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Ajirna kantaka rasa,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Agnimandya""}"
Ajirna kantaka rasa,20991,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Ajmodadi Curna,6648,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amavata""}"
Akika Pishti,7644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kshaya""}"
Akika Pishti,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Akika Pishti,3722,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Hridroga""}"
Akika bhasma,7644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kshaya""}"
Akika bhasma,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Akika bhasma,3722,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Hridroga""}"
Amalaki Curna,5177;21572,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Asrigdara""}"
Amalaki Curna,1179,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pandu""}"
Amalaki Curna,2680,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amlapitta""}"
Amalaki Curna,4751,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shweta Pradara""}"
Amalaki Curna,11232;20930,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amlapitta""}"
Amalakyadi Curna,Amla (Amalaki API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""345266-1"", ""quantity"": ""Pericarp"", ""pharmacopoeia_ref"": ""Emblica officinalis""}"
Amalakyadi Curna,Citraka API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""687109-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Plumbago zeylanica""}"
Amalakyadi Curna,Pathya (Haritaki API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""171037-1"", ""quantity"": ""Pericarp"", ""pharmacopoeia_ref"": ""Terminalia chebula""}"
Amalakyadi Curna,Pippali API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""682031-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Piper logum""}"
Amalakyadi Curna,Saindhava lavana API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""-"", ""pharmacopoeia_ref"": ""Rock salt""}"
Amalakyadi Curna,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Agnimandya""}"
Amalakyadi Curna,20991,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajrirna""}"
Amalakyadi Curna,2675,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajrirna""}"
Amalakyadi Curna,1259;21450,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Aruci""}"
Amalakyadi Curna,3245;21623,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Jvara""}"
Amapachana Vati,5701;13737,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Abhishyanda""}"
Amapachana Vati,6648,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amavata""}"
Amapachana Vati,3476,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Adhimantha""}"
Amapachana Vati,2221,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Abhishyanda""}"
Amavatari Rasa,6648,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amavata""}"
Amrita Bhallataka Avaleha,7071,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Katigraha""}"
Amrita Bhallataka Avaleha,6648,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amavata""}"
Amrita Bhallataka Avaleha,5755;17439,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sandhivata""}"
Amritarista,3245;21623,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Jwara""}"
Amrta ghrita,6648,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amavata""}"
Amrta ghrita,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Amrta ghrita,21488,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Gulma""}"
Amrta ghrita,20710,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Amrta ghrita,8119,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines""}"
Amrta ghrita,3750,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Krimi""}"
Amrta ghrita,3592,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Adhyavata""}"
Amrtabhallataka ghrita,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shuskarsha""}"
Amrtabhallataka ghrita,21595,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Smriti Ksaya""}"
Amrtabhallataka ghrita,247,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Daurbalya""}"
Amrtaprasha ghrita,7206;21588,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Murchha""}"
Amrtaprasha ghrita,3424,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Yoni Roga""}"
Amrtaprasha ghrita,7785,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Mutra Roga""}"
Amrtaprasha ghrita,5677,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Vyadhi Karshita Nastashukra""}"
Amrtaprasha ghrita,13863,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Mutra Roga""}"
Amrtaprasha ghrita,21081,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Trishna""}"
Amrtaprasha ghrita,21602,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Murchha""}"
Amrtaprasha ghrita,1412,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shvasa""}"
Amrtaprasha ghrita,3973,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Hikka""}"
Amrtaprasha ghrita,21108,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Raktapitta""}"
Amrtaprasha ghrita,3722,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Hridroga""}"
Amrtaprasha ghrita,7914;20962,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Amrtaprasha ghrita,1757,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Daha""}"
Amrtaprasha ghrita,247,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Daurbalya""}"
Amrtaprasha ghrita,5155;15856,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Amrtaprasha ghrita,1621,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Raktapitta""}"
Amrtaprasha ghrita,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Amrtaprasha ghrita,3245;21623,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Jvara""}"
Amrtaprasha ghrita,10404,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Amrtaprasha ghrita,2678;21184,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shvasa""}"
Amrtarista,Amrita (Guduca API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""907828-1"", ""quantity"": ""Stem"", ""pharmacopoeia_ref"": ""Tinospora cordifolia""}"
Amrtarista,Bilva API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""770819-1"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Aegle marmelos""}"
Amrtarista,Shyonaka API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""110175-1"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Oroxylum indicum""}"
Amrtarista,Gambhara API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""77159191-1"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Gmelina arborea""}"
Amrtarista,Patala API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""110808-1"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Stereospermum suaveolens""}"
Amrtarista,Agnimantha API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""862313-1"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Clerodendrum phlomidis""}"
Amrtarista,Shalaparna API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""491754-1"", ""quantity"": ""Whole plant"", ""pharmacopoeia_ref"": ""Desmodium gangeticum""}"
Amrtarista,Prisniparna API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""524417-1"", ""quantity"": ""Whole plant"", ""pharmacopoeia_ref"": ""Uraria picta""}"
Amrtarista,Brihata API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""820053-1"", ""quantity"": ""Whole plant"", ""pharmacopoeia_ref"": ""Solanum melongena var. Indicum""}"
Amrtarista,Kantakara API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""821175-1"", ""quantity"": ""Whole plant"", ""pharmacopoeia_ref"": ""Solanum surattense""}"
Amrtarista,Goksura API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""873490-1"", ""quantity"": ""Whole plant"", ""pharmacopoeia_ref"": ""Tribulus terrestris""}"
Amrtarista,Ajaja (Shveta Jaraka API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""840882-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Cuminum cyminum""}"
Amrtarista,Raktapuspaka (Parpata API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""673065-1"", ""quantity"": ""Whole plant"", ""pharmacopoeia_ref"": ""Fumaria parviflora""}"
Amrtarista,Saptacchada (Saptaparna API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""60445977-2"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Alstonia scholaris""}"
